SRC	GEN	GOLD_TAG	PRED_TAG	SYS
<s>محال<s>	<s>محال<s>	UC	UC	NA
<s>إنشاء<s>	<s>إن شاء<s>	MG	MG	CBR
<s>الله<s>	<s>الله<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>يؤمن<s>	<s>يؤمن<s>	UC	UC	NA
<s>بالله<s>	<s>بالله<s>	UC	UC	NA
<s>واليوم<s>	<s>واليوم<s>	UC	UC	NA
<s>الآخر<s>	<s>الآخر<s>	UC	UC	NA
<s>.<s>	<s>.<s>	PC	PC	OOV
<s>والمطلع<s>	<s>والمطلع<s>	UC	UC	NA
<s>على<s>	<s>على<s>	UC	UC	NA
<s>قصص<s>	<s>قصص<s>	UC	UC	NA
<s>الأنبياء<s>	<s>الأنبياء<s>	UC	UC	NA
<s>يرى<s>	<s>يرى<s>	UC	UC	NA
<s>أن<s>	<s>أن<s>	UC	UC	NA
<s>النصر<s>	<s>النصر<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>الله<s>	<s>الله<s>	UC	UC	NA
<s>وعلامات<s>	<s>وعلامات<s>	UC	UC	NA
<s>القيامة<s>	<s>القيامة<s>	UC	UC	NA
<s>آتيه<s>	<s>آتيه<s>	OT	OT	OOV
<s>في<s>	<s>في<s>	UC	UC	NA
<s>تسلسل<s>	<s>تسلسل<s>	UC	UC	NA
<s>عجيب<s>	<s>عجيب<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>أن<s>	<s>إن<s>	OH	OH	CBR
<s>تنصر<s>	<s>ينصرون<s>	XN	XN	CBR
<s>الله<s>	<s>الله<s>	UC	UC	NA
<s>ينصركم<s>	<s>ينصركم<s>	UC	UC	NA
<s>لا<s>	<s>لا<s>	UC	UC	NA
<s>رجوع<s>	<s>رجوع<s>	UC	UC	NA
<s>إنما<s>	<s>إنما<s>	UC	UC	NA
<s>التغيير<s>	<s>التغيير<s>	UC	UC	NA
<s>آت<s>	<s>آت<s>	UC	UC	NA
<s>ليس<s>	<s>ليس<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>الرءساء<s>	<s>الرؤساء<s>	OR	OR	CBR
<s>أنما<s>	<s>أنما<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>فوق<s>	<s>فوق<s>	UC	UC	NA
<s>سابع<s>	<s>سابع<s>	UC	UC	NA
<s>سماء<s>	<s>سماء<s>	UC	UC	NA

<s>إلى<s>	<s>إلى<s>	UC	UC	NA
<s>كل<s>	<s>كل<s>	UC	UC	NA
<s>شخص<s>	<s>شخص<s>	UC	UC	NA
<s>يعتقد<s>	<s>يعتقد<s>	UC	UC	NA
<s>أن<s>	<s>أن<s>	UC	UC	NA
<s>بشار<s>	<s>بشار<s>	UC	UC	NA
<s>الأسد<s>	<s>الأسد<s>	UC	UC	NA
<s>سوف<s>	<s>سوف<s>	UC	UC	NA
<s>يخرج<s>	<s>يخرج<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>سوريا<s>	<s>سوريا<s>	UC	UC	NA
<s>بدون<s>	<s>بدون<s>	UC	UC	NA
<s>محكمة<s>	<s>محكمة<s>	UC	UC	NA
<s>فهوا<s>	<s>فهوا<s>	UNK	UNK	OOV
<s>وهم<s>	<s>وهم<s>	UC	UC	NA
<s>أن<s>	<s>إن<s>	OH	OH	CBR
<s>بشار<s>	<s>بشار<s>	UC	UC	NA
<s>الأسد<s>	<s>الأسد<s>	UC	UC	NA
<s>قتل<s>	<s>قتل<s>	UC	UC	NA
<s>الشعب<s>	<s>الشعب<s>	UC	UC	NA
<s>سوري<s>	<s>سوري<s>	UC	UC	NA
<s>وأقول<s>	<s>وأقول<s>	UC	UC	NA
<s>لكل<s>	<s>لكل<s>	UC	UC	NA
<s>شحص<s>	<s>شحص<s>	OR	OR	OOV
<s>سوري<s>	<s>سوري<s>	UC	UC	NA
<s>أو<s>	<s>أو<s>	UC	UC	NA
<s>غير<s>	<s>غير<s>	UC	UC	NA
<s>سوري<s>	<s>سوري<s>	UC	UC	NA
<s>أن<s>	<s>أن<s>	UC	UC	NA
<s>بشار<s>	<s>بشار<s>	UC	UC	NA
<s>وطغمتهو<s>	<s>وطغمتهو<s>	UNK	UNK	OOV
<s>عثو<s>	<s>عثو<s>	OW	OW	OOV
<s>فساد<s>	<s>فسادا<s>	XC	XC	CBR
<s>في<s>	<s>في<s>	UC	UC	NA
<s>سوريا<s>	<s>سوريا<s>	UC	UC	NA
<s>48<s>	<s>48<s>	UC	UC	NA
<s>عام<s>	<s>عاما<s>	XC	XC	CBR
<s>يكفي<s>	<s>يكفي<s>	UC	UC	NA
<s>ولإسلام<s>	<s>ولإسلام<s>	UNK	UNK	OOV
<s>أي<s>	<s>أي<s>	UC	UC	NA
<s>الأسد<s>	<s>الأسد<s>	UC	UC	NA
<s>حكمات<s>	<s>حكمات<s>	OD	OD	OOV
<s>فأفنيت<s>	<s>فأفنيت<s>	UC	UC	NA
<s>بلاد<s>	<s>بلادا<s>	XC	XC	CBR
<s>وخيران<s>	<s>وخيران<s>	UNK	UNK	OOV
<s>أقول<s>	<s>أقول<s>	UC	UC	NA
<s>لكل<s>	<s>لكل<s>	UC	UC	NA
<s>شخص<s>	<s>شخص<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>الآمن<s>	<s>الأمن<s>	OH	OH	CBR
<s>وجيش<s>	<s>وجيش<s>	UC	UC	NA
<s>أتقي<s>	<s>اتق<s>	OH	OH	CBR
<s>لله<s>	<s>لله<s>	UNK	UNK	OOV
<s>في<s>	<s>في<s>	UC	UC	NA
<s>الشعب<s>	<s>الشعب<s>	UC	UC	NA
<s>سوري<s>	<s>سوري<s>	UC	UC	NA
<s>البطل<s>	<s>البطل<s>	UC	UC	NA

<s>الأسد<s>	<s>الأسد<s>	UC	UC	NA
<s>وعصابته<s>	<s>وعصابته<s>	UC	UC	NA
<s>لحد<s>	<s>لحد<s>	UC	UC	NA
<s>الآن<s>	<s>الآن<s>	UC	UC	NA
<s>غير<s>	<s>غير<s>	UC	UC	NA
<s>مستوعبين<s>	<s>مستوعبين<s>	UC	UC	NA
<s>أن<s>	<s>أن<s>	S	S	OOV
<s>و<s>	<s>و<s>	S	S	OOV
<s>رح<s>	<s>رح<s>	UC	UC	NA
<s>ينقلعوا<s>	<s>ينقلعوا<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>فوق<s>	<s>فوق<s>	UC	UC	NA
<s>رقاب<s>	<s>رقاب<s>	UC	UC	NA
<s>الشعب<s>	<s>الشعب<s>	UC	UC	NA
<s>السوري<s>	<s>السوري<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>يعني<s>	<s>يعني<s>	UC	UC	NA
<s>لس<s>	<s>لس<s>	SP	SP	OOV
<s>ع<s>	<s>ع<s>	SP	SP	OOV
<s>راكبة<s>	<s>راكبة<s>	UC	UC	NA
<s>براسون<s>	<s>براسون<s>	UNK	UNK	OOV
<s>أنو<s>	<s>أنو<s>	UNK	UNK	OOV
<s>هالشعب<s>	<s>هذا الشعب<s>	X	X	CBR
<s>قطيع<s>	<s>قطيع<s>	UC	UC	NA
<s>غنم<s>	<s>غنم<s>	UC	UC	NA
<s>مابيحل<s>	<s>مابيحل<s>	X	X	OOV
<s>ولا<s>	<s>ولا<s>	UC	UC	NA
<s>بيربط<s>	<s>بيربط<s>	OD	OD	OOV
<s>ونهايتو<s>	<s>ونهايتو<s>	OR	OR	OOV
<s>الدبح<s>	<s>الذبح<s>	OR	OR	CBR
<s>!<s>	<s>!<s>	UC	UC	NA
<s>تماما<s>	<s>تماما<s>	UC	UC	NA
<s>كالقذافي<s>	<s>كالقذافي<s>	UC	UC	NA
<s>ومن<s>	<s>ومن<s>	UC	UC	NA
<s>أثر<s>	<s>أثر<s>	UC	UC	NA
<s>الصدمة<s>	<s>الصدمة<s>	UC	UC	NA
<s>بدأت<s>	<s>بدأت<s>	UC	UC	NA
<s>التصر<s>	<s>التصر<s>	SP	SP	OOV
<s>فات<s>	<s>فات<s>	SP	SP	OOV
<s>العنيفة<s>	<s>العنيفة<s>	UC	UC	NA
<s>بالقتل<s>	<s>بالقتل<s>	UC	UC	NA
<s>والاعتقال<s>	<s>والاعتقال<s>	UC	UC	NA
<s>والتعذيب<s>	<s>والتعذيب<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>أعتقد<s>	<s>أعتقد<s>	UC	UC	NA
<s>بأن<s>	<s>بأن<s>	UC	UC	NA
<s>الكثيرين<s>	<s>الكثيرين<s>	UC	UC	NA
<s>سوف<s>	<s>سوف<s>	UC	UC	NA
<s>لن<s>	<s>لن<s>	UC	UC	NA
<s>يفيقوا<s>	<s>يفيقوا<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>الصدمة<s>	<s>الصدمة<s>	UC	UC	NA
<s>آبدا<s>	<s>أبدا<s>	OH	OH	CBR
<s>لأنهم<s>	<s>لأنهم<s>	UC	UC	NA
<s>سيلحقوا<s>	<s>سيلحقوا<s>	UC	UC	NA
<s>بشهائنا<s>	<s>بشهائنا<s>	OM	OM	OOV
<s>بآذن<s>	<s>بإذن<s>	OR	OR	CBR
<s>الرب<s>	<s>الرب<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA

<s>النظام<s>	<s>النظام<s>	UC	UC	NA
<s>الأسدي<s>	<s>الأسدي<s>	UC	UC	NA
<s>تجاوز<s>	<s>تجاوز<s>	UC	UC	NA
<s>حتى<s>	<s>حتى<s>	UC	UC	NA
<s>ما<s>	<s>ما<s>	UC	UC	NA
<s>فعله<s>	<s>فعله<s>	UC	UC	NA
<s>معمر<s>	<s>معمر<s>	UC	UC	NA
<s>القذافي<s>	<s>القذافي<s>	UC	UC	NA
<s>في<s>	<s>في<s>	UC	UC	NA
<s>ليبيا<s>	<s>ليبيا<s>	UC	UC	NA
<s>؛<s>	<s>؛<s>	UC	UC	NA
<s>فهناك<s>	<s>فهناك<s>	UC	UC	NA
<s>كانت<s>	<s>كانت<s>	UC	UC	NA
<s>المعركة<s>	<s>المعركة<s>	UC	UC	NA
<s>مختلفة<s>	<s>مختلفة<s>	UC	UC	NA
<s>؛<s>	<s>؛<s>	PC	PC	OOV
<s>حيث<s>	<s>حيث<s>	UC	UC	NA
<s>وقعت<s>	<s>وقعت<s>	UC	UC	NA
<s>بين<s>	<s>بين<s>	UC	UC	NA
<s>طرفين<s>	<s>طرفين<s>	UC	UC	NA
<s>:<s>	<s>:<s>	UC	UC	NA
<s>نظام<s>	<s>نظام<s>	UC	UC	NA
<s>العقيد<s>	<s>العقيد<s>	UC	UC	NA
<s>والثوار<s>	<s>والثوار<s>	UC	UC	NA
<s>،<s>	<s>،<s>	PC	PC	OOV
<s>وكلأهما<s>	<s>وكلاهما<s>	OH	OH	CBR
<s>يحمل<s>	<s>يحمل<s>	UC	UC	NA
<s>السلاح<s>	<s>السلاح<s>	UC	UC	NA
<s>بوجه<s>	<s>بوجه<s>	UC	UC	NA
<s>الآخر<s>	<s>الآخر<s>	UC	UC	NA
<s>:<s>	<s>:<s>	PC	PC	OOV
<s>الدبابة<s>	<s>الدبابة<s>	UC	UC	NA
<s>مقابل<s>	<s>مقابل<s>	UC	UC	NA
<s>الدبابة<s>	<s>الدبابة<s>	UC	UC	NA
<s>،<s>	<s>،<s>	UC	UC	NA
<s>والرشاش<s>	<s>والرشاش<s>	UC	UC	NA
<s>مقابل<s>	<s>مقابل<s>	UC	UC	NA
<s>الرشاش<s>	<s>الرشاش<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>بينما<s>	<s>بينما<s>	UC	UC	NA
<s>العكس<s>	<s>العكس<s>	UC	UC	NA
<s>تماما<s>	<s>تماما<s>	UC	UC	NA
<s>في<s>	<s>في<s>	UC	UC	NA
<s>سوريا<s>	<s>سوريا<s>	UC	UC	NA
<s>؛<s>	<s>؛<s>	PC	PC	OOV
<s>حيث<s>	<s>حيث<s>	UC	UC	NA
<s>إن<s>	<s>إن<s>	UC	UC	NA
<s>النظام<s>	<s>النظام<s>	UC	UC	NA
<s>الأسدي<s>	<s>الأسدي<s>	UC	UC	NA
<s>هو<s>	<s>هو<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>يحمل<s>	<s>يحمل<s>	UC	UC	NA
<s>السلاح<s>	<s>السلاح<s>	UC	UC	NA
<s>،<s>	<s>،<s>	UC	UC	NA
<s>وهو<s>	<s>وهو<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>يعربد<s>	<s>يعربد<s>	UC	UC	NA
<s>به<s>	<s>به<s>	UC	UC	NA
<s>،<s>	<s>،<s>	UC	UC	NA
<s>بينما<s>	<s>بينما<s>	UC	UC	NA
<s>الثوار<s>	<s>الثوار<s>	UC	UC	NA
<s>السوريون<s>	<s>السوريون<s>	UC	UC	NA
<s>مسالمون<s>	<s>مسالمون<s>	UC	UC	NA

<s>سوريا<s>	<s>سوريا<s>	UC	UC	NA
<s>أما<s>	<s>أم<s>	XC	XC	CBR
<s>للسوريين<s>	<s>للسوريين<s>	UC	UC	NA
<s>أو<s>	<s>أو<s>	UC	UC	NA
<s>لبشار<s>	<s>لبشار<s>	UC	UC	NA
<s>وعصابته<s>	<s>وعصابته<s>	UC	UC	NA
<s>لن<s>	<s>لن<s>	UC	UC	NA
<s>تنتهي<s>	<s>تنتهي<s>	UC	UC	NA
<s>هذه<s>	<s>هذه<s>	UC	UC	NA
<s>الثورة<s>	<s>الثورة<s>	UC	UC	NA
<s>إلا<s>	<s>إلا<s>	UC	UC	NA
<s>بأن<s>	<s>بأن<s>	UC	UC	NA
<s>تبقى<s>	<s>تبقى<s>	UC	UC	NA
<s>سوريا<s>	<s>سوريا<s>	UC	UC	NA
<s>حرة<s>	<s>حرة<s>	UC	UC	NA
<s>ليس<s>	<s>ليس<s>	UC	UC	NA
<s>فيها<s>	<s>فيها<s>	UC	UC	NA
<s>مكانا<s>	<s>مكان<s>	XC	XC	CBR
<s>لقتلة<s>	<s>لقتلة<s>	UC	UC	NA
<s>الأطفال<s>	<s>الأطفال<s>	UC	UC	NA
<s>والنساء<s>	<s>والنساء<s>	UC	UC	NA
<s>الشعب<s>	<s>الشعب<s>	UC	UC	NA
<s>السوري<s>	<s>السوري<s>	UC	UC	NA
<s>لن<s>	<s>لن<s>	UC	UC	NA
<s>يرضى<s>	<s>يرضى<s>	UC	UC	NA
<s>أن<s>	<s>أن<s>	UC	UC	NA
<s>يحكمه<s>	<s>يحكمه<s>	UC	UC	NA
<s>خائن<s>	<s>خائن<s>	UC	UC	NA
<s>قتل<s>	<s>قتل<s>	UC	UC	NA
<s>أبناء<s>	<s>أبناء<s>	UC	UC	NA
<s>سوريا<s>	<s>سوريا<s>	UC	UC	NA
<s>لو<s>	<s>لو<s>	UC	UC	NA
<s>استمرت<s>	<s>استمرت<s>	UC	UC	NA
<s>الثورة<s>	<s>الثورة<s>	UC	UC	NA
<s>للأجيال<s>	<s>للأجيال<s>	UC	UC	NA
<s>القادمة<s>	<s>القادمة<s>	UC	UC	NA
<s>لن<s>	<s>لن<s>	UC	UC	NA
<s>يخذل<s>	<s>يخذل<s>	UC	UC	NA
<s>الشهداء<s>	<s>الشهداء<s>	UC	UC	NA
<s>وسوف<s>	<s>وسوف<s>	UC	UC	NA
<s>تنتصر<s>	<s>تنتصر<s>	UC	UC	NA
<s>الثورة<s>	<s>الثورة<s>	UC	UC	NA
<s>وستجر<s>	<s>وستجر<s>	UC	UC	NA
<s>أذيال<s>	<s>أذيال<s>	UC	UC	NA
<s>الخيبة<s>	<s>الخيبة<s>	UC	UC	NA
<s>عصابة<s>	<s>عصابة<s>	UC	UC	NA
<s>الطغيان<s>	<s>الطغيان<s>	UC	UC	NA
<s>الله<s>	<s>الله<s>	UC	UC	NA
<s>معكم<s>	<s>معكم<s>	UC	UC	NA
<s>يا<s>	<s>يا<s>	UC	UC	NA
<s>أحرار<s>	<s>أحرار<s>	UC	UC	NA
<s>سوريا<s>	<s>سوريا<s>	UC	UC	NA

<s>التاريخ<s>	<s>التاريخ<s>	UC	UC	NA
<s>يعيد<s>	<s>يعيد<s>	UC	UC	NA
<s>نفسه<s>	<s>نفسه<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>الإخوان<s>	<s>الإخوان<s>	UC	UC	NA
<s>المجرمون<s>	<s>المجرمون<s>	UC	UC	NA
<s>يقتلون<s>	<s>يقتلون<s>	UC	UC	NA
<s>و<s>	<s>و<s>	SP	SP	OOV
<s>يغتالون<s>	<s>يغتالون<s>	SP	SP	OOV
<s>باسم<s>	<s>باسم<s>	UC	UC	NA
<s>الإسلام<s>	<s>الإسلام<s>	UC	UC	NA
<s>يقتلون<s>	<s>يقتلون<s>	UC	UC	NA
<s>عائلات<s>	<s>عائلات<s>	UC	UC	NA
<s>بأكملها<s>	<s>بأكملها<s>	UC	UC	NA
<s>باسم<s>	<s>باسم<s>	UC	UC	NA
<s>الإسلام<s>	<s>الإسلام<s>	UC	UC	NA
<s>و<s>	<s>و<s>	O	O	OOV
<s>يمدوون<s>	<s>يمدوون<s>	O	O	OOV
<s>أيديهم<s>	<s>أيديهم<s>	UC	UC	NA
<s>للأجنبي<s>	<s>للأجنبي<s>	UC	UC	NA
<s>و<s>	<s>و<s>	SP	SP	OOV
<s>إلى<s>	<s>إلى<s>	SP	SP	OOV
<s>عملا<s>	<s>عملا<s>	SP	SP	OOV
<s>ء<s>	<s>ء<s>	SP	SP	OOV
<s>الأجنبي<s>	<s>الأجنبي<s>	UC	UC	NA
<s>ليقبضوا<s>	<s>ليقبضوا<s>	UC	UC	NA
<s>المال<s>	<s>المال<s>	UC	UC	NA
<s>و<s>	<s>و<s>	SP	SP	OOV
<s>يأخذوا<s>	<s>يأخذوا<s>	SP	SP	OOV
<s>السلاح<s>	<s>السلاح<s>	UC	UC	NA
<s>ليغتالو<s>	<s>ليغتالو<s>	OW	OW	OOV
<s>هذا<s>	<s>هذا<s>	UC	UC	NA
<s>الوطن<s>	<s>الوطن<s>	UC	UC	NA
<s>و<s>	<s>و<s>	SP	SP	OOV
<s>يضعفوا<s>	<s>يضعفوا<s>	SP	SP	OOV
<s>هذا<s>	<s>هذا<s>	UC	UC	NA
<s>الوطن<s>	<s>الوطن<s>	UC	UC	NA
<s>سوري<s>	<s>سوري<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>هذا<s>	<s>هذا<s>	UC	UC	NA
<s>مايفعله<s>	<s>ما يفعله<s>	MG	MG	CBR
<s>الإخوان<s>	<s>الإخوان<s>	UC	UC	NA
<s>المجرمون<s>	<s>المجرمون<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>الله<s>	<s>الله<s>	UC	UC	NA
<s>محيي<s>	<s>محيي<s>	UNK	UNK	OOV
<s>الجيش<s>	<s>الجيش<s>	UC	UC	NA
<s>العربي<s>	<s>العربي<s>	UC	UC	NA
<s>السوري<s>	<s>السوري<s>	UC	UC	NA

<s>عار<s>	<s>عار<s>	UC	UC	NA
<s>عليكم<s>	<s>عليكم<s>	UC	UC	NA
<s>يا<s>	<s>يا<s>	UC	UC	NA
<s>أمة<s>	<s>أمة<s>	UC	UC	NA
<s>الإسلام<s>	<s>الإسلام<s>	UC	UC	NA
<s>لعدم<s>	<s>لعدم<s>	UC	UC	NA
<s>مساعدتكم<s>	<s>مساعدتكم<s>	UC	UC	NA
<s>لنا<s>	<s>لنا<s>	UC	UC	NA
<s>نحن<s>	<s>نحن<s>	UC	UC	NA
<s>الشعب<s>	<s>الشعب<s>	UC	UC	NA
<s>السوري<s>	<s>السوري<s>	UC	UC	NA
<s>الذي<s>	<s>الذي<s>	UC	UC	NA
<s>نقتل<s>	<s>نقتل<s>	UC	UC	NA
<s>كل<s>	<s>كل<s>	UC	UC	NA
<s>يوم<s>	<s>يوم<s>	UC	UC	NA
<s>بدم<s>	<s>بدم<s>	UC	UC	NA
<s>بارد<s>	<s>بارد<s>	UC	UC	NA
<s>و<s>	<s>و<s>	SP	SP	OOV
<s>على<s>	<s>على<s>	SP	SP	OOV
<s>مسمع<s>	<s>مسمع<s>	UC	UC	NA
<s>العالم<s>	<s>العالم<s>	UC	UC	NA
<s>الإسلامي<s>	<s>الإسلامي<s>	UC	UC	NA
<s>أجمع<s>	<s>أجمع<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>أين<s>	<s>أين<s>	UC	UC	NA
<s>انتم<s>	<s>أنتم<s>	OH	OH	CBR
<s>يا<s>	<s>يا<s>	UC	UC	NA
<s>أشباه<s>	<s>أشباه<s>	UC	UC	NA
<s>الرجاااال<s>	<s>الرجاااال<s>	OD	OD	OOV
<s>.<s>	<s>.<s>	PC	PC	OOV
<s>و<s>	<s>و<s>	SP	SP	OOV
<s>الله<s>	<s>الله<s>	SP	SP	OOV
<s>العظيم<s>	<s>العظيم<s>	UC	UC	NA
<s>لن<s>	<s>لن<s>	UC	UC	NA
<s>نتراجع<s>	<s>نتراجع<s>	UC	UC	NA
<s>عن<s>	<s>عن<s>	UC	UC	NA
<s>أسقاط<s>	<s>إسقاط<s>	OH	OH	CBR
<s>النظام<s>	<s>النظام<s>	UC	UC	NA
<s>و<s>	<s>و<s>	SP	SP	OOV
<s>المطالبة<s>	<s>المطالبة<s>	SP	SP	OOV
<s>بإعدامه<s>	<s>بإعدامه<s>	UC	UC	NA
<s>في<s>	<s>في<s>	UC	UC	NA
<s>ساحة<s>	<s>ساحة<s>	UC	UC	NA
<s>المرجه<s>	<s>المرجة<s>	OT	OT	CBR
<s>و<s>	<s>و<s>	SP	SP	OOV
<s>النظام<s>	<s>النظام<s>	SP	SP	OOV
<s>البعثي<s>	<s>البعثي<s>	UC	UC	NA
<s>يعرف<s>	<s>يعرف<s>	UC	UC	NA
<s>شو<s>	<s>شو<s>	UC	UC	NA
<s>هي<s>	<s>هي<s>	UC	UC	NA
<s>ساحة<s>	<s>ساحة<s>	UC	UC	NA
<s>المرجه<s>	<s>المرجة<s>	OT	OT	CBR

<s>تنويه<s>	<s>تنويه<s>	UC	UC	NA
<s>:<s>	<s>:<s>	UC	UC	NA
<s>عقرب<s>	<s>عقرب<s>	UC	UC	NA
<s>هي<s>	<s>هي<s>	UC	UC	NA
<s>قرية<s>	<s>قرية<s>	UC	UC	NA
<s>تقع<s>	<s>تقع<s>	UC	UC	NA
<s>في<s>	<s>في<s>	UC	UC	NA
<s>سهل<s>	<s>سهل<s>	UC	UC	NA
<s>الحولة<s>	<s>الحولة<s>	UC	UC	NA
<s>وتتبع<s>	<s>وتتبع<s>	UC	UC	NA
<s>إداريا<s>	<s>إداريا<s>	UC	UC	NA
<s>لمحافطة<s>	<s>لمحافطة<s>	UC	UC	NA
<s>حماة<s>	<s>حماة<s>	UC	UC	NA
<s>.<s>	<s>.<s>	UC	UC	NA
<s>سكانها<s>	<s>سكانها<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>الأغلبية<s>	<s>الأغلبية<s>	UC	UC	NA
<s>السنية<s>	<s>السنية<s>	UC	UC	NA
<s>و<s>	<s>و<s>	SP	SP	OOV
<s>يوجد<s>	<s>يوجد<s>	SP	SP	OOV
<s>بها<s>	<s>بها<s>	UC	UC	NA
<s>أقلية<s>	<s>أقلية<s>	UC	UC	NA
<s>علوية<s>	<s>علوية<s>	UC	UC	NA
<s>نصيرية<s>	<s>نصيرية<s>	UC	UC	NA
<s>حوالي<s>	<s>حوالي<s>	UC	UC	NA
<s>15<s>	<s>15<s>	UC	UC	NA
<s>%<s>	<s>%<s>	UC	UC	NA
